Product,Category,Brand,Price,Stock,Rating,Discount,Supplier,Warranty_Years
Laptop,Electronics,Dell,899.99,45,4.6,10,TechWorld,2
Mouse,Accessories,Logitech,29.99,150,4.4,5,GadgetZone,1
Keyboard,Accessories,Corsair,79.99,89,4.7,8,GadgetZone,2
Monitor,Electronics,Samsung,299.99,32,4.5,12,DisplayMart,3
Headphones,Electronics,Sony,149.99,67,4.3,15,SoundHub,2
Smartphone,Electronics,Apple,1199.99,28,4.8,7,TechWorld,1
Tablet,Electronics,Lenovo,499.99,54,4.2,10,TechWorld,2
External Hard Drive,Accessories,Seagate,89.99,120,4.6,9,DataStore,3
Smartwatch,Wearables,Fitbit,199.99,75,4.4,11,HealthTech,2
Gaming Console,Electronics,Microsoft,499.99,25,4.9,5,TechWorld,3
Bluetooth Speaker,Electronics,JBL,129.99,64,4.5,13,SoundHub,2
Webcam,Accessories,Logitech,69.99,110,4.3,10,GadgetZone,1
USB Flash Drive,Accessories,SanDisk,19.99,300,4.2,6,DataStore,1
Printer,Electronics,HP,229.99,42,4.4,9,OfficePlus,3
Router,Electronics,TP-Link,99.99,78,4.3,10,NetMart,2
Power Bank,Accessories,Anker,49.99,130,4.7,12,ChargeNow,2
Drone,Electronics,DJI,999.99,18,4.8,7,FlyZone,3
Camera,Electronics,Canon,749.99,35,4.6,10,PhotoWorld,3
Tripod,Accessories,Manfrotto,149.99,55,4.5,5,PhotoWorld,2
Fitness Band,Wearables,Xiaomi,59.99,95,4.3,15,HealthTech,1
Microphone,Accessories,Blue,129.99,48,4.7,8,SoundHub,2
Projector,Electronics,Epson,699.99,27,4.5,10,DisplayMart,3
Smart TV,Electronics,LG,1099.99,20,4.6,9,DisplayMart,3
Earbuds,Wearables,OnePlus,89.99,80,4.4,10,SoundHub,1
VR Headset,Electronics,Meta,499.99,22,4.7,8,TechWorld,2
Graphic Tablet,Accessories,Wacom,349.99,26,4.8,7,ArtTech,3
SSD Drive,Accessories,Crucial,129.99,95,4.5,10,DataStore,3
Gaming Chair,Furniture,Secretlab,399.99,33,4.9,6,GameMart,5
Office Chair,Furniture,Ikea,259.99,47,4.4,10,OfficePlus,5
Standing Desk,Furniture,Fully,549.99,28,4.6,12,OfficePlus,5
Coffee Maker,Home Appliances,Philips,149.99,52,4.3,8,HomeStore,2
Air Purifier,Home Appliances,Mi,199.99,40,4.5,9,HomeStore,3
Blender,Home Appliances,NutriBullet,99.99,60,4.4,11,HomeStore,2
Smart Light,Home Appliances,Philips Hue,49.99,130,4.6,10,HomeStore,2
Electric Kettle,Home Appliances,Bosch,69.99,95,4.3,7,HomeStore,2
